Test1: Tree creation (10.1.1.100,224.12.12.12)
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,746                                     2  eth2  R7 Neighbor state of 10.9.9.2 transitions to Synced with MyBootTime=1592308365; MySnapshotSN=1; NeighborBootTime=1592308365; NeighborSnapshotSN=1
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,872                                     0  eth0  R6 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.3
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,872                                     0  eth0  R6 Neighbor state of 10.5.5.3 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,873                                     0  eth0  R6 Neighbor state of 10.5.5.3 transitions to Slave with MyBootTime=1592308362; MySnapshotSN=0; NeighborBootTime=1592308364; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,872                                     0  eth0  R5 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,873                                     1  eth1  R3 Received Sync message with BootTime: 1592308362; NeighborBootTime: 1592308364; MySnapshotSN: 2; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.6
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,874                                     1  eth1  R3 Neighbor state of 10.5.5.6 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,874                                     1  eth1  R3 Neighbor state of 10.5.5.6 transitions to Master with MyBootTime=1592308364; MySnapshotSN=0; NeighborBootTime=1592308362; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,872                                     1  eth1  R4 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.3
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,873                                     1  eth1  R4 Neighbor state of 10.5.5.3 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,873                                     1  eth1  R4 Neighbor state of 10.5.5.3 transitions to Slave with MyBootTime=1592308364; MySnapshotSN=0; NeighborBootTime=1592308364; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,875                                     1  eth1  R3 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308364; MySnapshotSN: 2; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,875                                     0  eth0  R6 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308362; MySnapshotSN: 2; NeighborSnapshotSN: 2; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,876                                     1  eth1  R2 Received Hello message with HelloHoldTime: 120; CheckpointSN: 1 from neighbor 10.5.5.3
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,876                                     1  eth1  R2 Neighbor state of 10.5.5.3 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,877                                     1  eth1  R2 Neighbor state of 10.5.5.3 transitions to Slave with MyBootTime=1592308364; MySnapshotSN=0; NeighborBootTime=1592308364; NeighborSnapshotSN=0
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,876                                     1  eth1  R3 Neighbor state of 10.5.5.4 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,876                                     1  eth1  R3 Neighbor state of 10.5.5.4 transitions to Master with MyBootTime=1592308364; MySnapshotSN=0; NeighborBootTime=1592308364; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,878                                     1  eth1  R4 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308364; MySnapshotSN: 3; NeighborSnapshotSN: 2; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,878                                     0  eth0  R6 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308362; MySnapshotSN: 2; NeighborSnapshotSN: 2; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,878                                     1  eth1  R3 Neighbor state of 10.5.5.6 transitions to Synced with MyBootTime=1592308364; MySnapshotSN=2; NeighborBootTime=1592308362; NeighborSnapshotSN=2
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,878                                     1  eth1  R3 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308364; MySnapshotSN: 2; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.2
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,879                                     1  eth1  R3 Neighbor state of 10.5.5.2 transitions to Unknown
hpim.Interface.Neighbor                            DEBUG    2020-06-16 11:52:45,879                                     1  eth1  R3 Neighbor state of 10.5.5.2 transitions to Master with MyBootTime=1592308364; MySnapshotSN=0; NeighborBootTime=1592308364; NeighborSnapshotSN=0
hpim.Interface                                     DEBUG    2020-06-16 11:52:45,880                                     1  eth1  R2 Received Sync message with BootTime: 1592308364; NeighborBootTime: 1592308364; MySnapshotSN: 4; NeighborSnapshotSN: 2; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.3
