Test1: Formation of (S,G) Broadcast Tree
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,270                                       2  eth2  R2 Received Sync message with BootTime: 1592337595; NeighborBootTime: 1592337595; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.9.9.7
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,270                                       2  eth2  R7 Received Sync message with BootTime: 1592337595; NeighborBootTime: 1592337595; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.9.9.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,373                                       0  eth0  R7 Received Hello message with HelloHoldTime: 40; CheckpointSN: 0 from neighbor 10.6.6.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,376                                       1  eth1  R5 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.6.6.7
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,378                                       0  eth0  R7 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.6.6.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,379                                       1  eth1  R5 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.6.6.7
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,379                                       0  eth0  R7 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.6.6.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,814                                       1  eth1  R5 Received Hello message with HelloHoldTime: 40; CheckpointSN: 1 from neighbor 10.6.6.7
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,815                                       1  eth1  R4 Received Hello message with HelloHoldTime: 40; CheckpointSN: 1 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,815                                       0  eth0  R5 Received Hello message with HelloHoldTime: 40; CheckpointSN: 1 from neighbor 10.5.5.6
hpim.Interface                                     DEBUG    2020-06-16 19:59:56,815                                       1  eth1  R3 Received Hello message with HelloHoldTime: 40; CheckpointSN: 1 from neighbor 10.5.5.6
